,Salary Estimate,Location,Industry,Min,Max,City,State
0,$37K-$66K,"New York, NY",Social Assistance,$37K,$66K,New York,NY
1,$37K-$66K,"New York, NY",Health Care Services & Hospitals,$37K,$66K,New York,NY
2,$37K-$66K,"New York, NY",Internet,$37K,$66K,New York,NY
3,$37K-$66K,"New York, NY",IT Services,$37K,$66K,New York,NY
4,$37K-$66K,"New York, NY",Sports & Recreation,$37K,$66K,New York,NY
5,$37K-$66K,"New York, NY",Investment Banking & Asset Management,$37K,$66K,New York,NY
6,$37K-$66K,"New York, NY",Investment Banking & Asset Management,$37K,$66K,New York,NY
7,$37K-$66K,"New York, NY",Insurance Carriers,$37K,$66K,New York,NY
8,$37K-$66K,"New York, NY",Venture Capital & Private Equity,$37K,$66K,New York,NY
9,$37K-$66K,"New York, NY",Research & Development,$37K,$66K,New York,NY
10,$37K-$66K,"New York, NY",Health Care Services & Hospitals,$37K,$66K,New York,NY
11,$37K-$66K,"Fairfield, NJ",Unknown,$37K,$66K,Fairfield,NJ
12,$37K-$66K,"New York, NY",Health Care Services & Hospitals,$37K,$66K,New York,NY
13,$37K-$66K,"New York, NY",Advertising & Marketing,$37K,$66K,New York,NY
14,$37K-$66K,"Jersey City, NJ",Brokerage Services,$37K,$66K,Jersey City,NJ
15,$37K-$66K,"New York, NY",Building & Personnel Services,$37K,$66K,New York,NY
16,$37K-$66K,"New York, NY",Advertising & Marketing,$37K,$66K,New York,NY
17,$37K-$66K,"New York, NY",Consulting,$37K,$66K,New York,NY
18,$37K-$66K,"New York, NY",Research & Development,$37K,$66K,New York,NY
19,$37K-$66K,"New York, NY",Internet,$37K,$66K,New York,NY
20,$37K-$66K,"New York, NY",Internet,$37K,$66K,New York,NY
21,$37K-$66K,"New York, NY",Unknown,$37K,$66K,New York,NY
22,$37K-$66K,"New York, NY",Investment Banking & Asset Management,$37K,$66K,New York,NY
23,$37K-$66K,"New York, NY",Casual Restaurants,$37K,$66K,New York,NY
24,$37K-$66K,"New York, NY",Unknown,$37K,$66K,New York,NY
25,$37K-$66K,"New York, NY",Advertising & Marketing,$37K,$66K,New York,NY
26,$37K-$66K,"New York, NY",Internet,$37K,$66K,New York,NY
27,$37K-$66K,"New York, NY",Health Care Services & Hospitals,$37K,$66K,New York,NY
28,$37K-$66K,"New York, NY",Advertising & Marketing,$37K,$66K,New York,NY
29,$37K-$66K,"New York, NY",Research & Development,$37K,$66K,New York,NY
30,$46K-$87K,"Brooklyn, NY",Consulting,$46K,$87K,Brooklyn,NY
31,$46K-$87K,"Jersey City, NJ",Enterprise Software & Network Solutions,$46K,$87K,Jersey City,NJ
32,$46K-$87K,"New York, NY",Unknown,$46K,$87K,New York,NY
33,$46K-$87K,"New York, NY",Lending,$46K,$87K,New York,NY
34,$46K-$87K,"New York, NY",Unknown,$46K,$87K,New York,NY
35,$46K-$87K,"New York, NY",Banks & Credit Unions,$46K,$87K,New York,NY
36,$46K-$87K,"New York, NY",Unknown,$46K,$87K,New York,NY
37,$46K-$87K,"New York, NY",Computer Hardware & Software,$46K,$87K,New York,NY
38,$46K-$87K,"New York, NY",Health Care Services & Hospitals,$46K,$87K,New York,NY
39,$46K-$87K,"New York, NY",Social Assistance,$46K,$87K,New York,NY
40,$46K-$87K,"New York, NY",Unknown,$46K,$87K,New York,NY
41,$46K-$87K,"New York, NY",Unknown,$46K,$87K,New York,NY
42,$46K-$87K,"New York, NY",Unknown,$46K,$87K,New York,NY
43,$46K-$87K,"New York, NY",Staffing & Outsourcing,$46K,$87K,New York,NY
44,$46K-$87K,"New York, NY",Internet,$46K,$87K,New York,NY
45,$46K-$87K,"New York, NY",Staffing & Outsourcing,$46K,$87K,New York,NY
46,$46K-$87K,"New York, NY",Advertising & Marketing,$46K,$87K,New York,NY
47,$46K-$87K,"New York, NY",Advertising & Marketing,$46K,$87K,New York,NY
48,$46K-$87K,"New York, NY",Brokerage Services,$46K,$87K,New York,NY
49,$46K-$87K,"New York, NY",IT Services,$46K,$87K,New York,NY
50,$46K-$87K,"New York, NY",Motion Picture Production & Distribution,$46K,$87K,New York,NY
51,$46K-$87K,"New York, NY",Unknown,$46K,$87K,New York,NY
52,$46K-$87K,"Jersey City, NJ",IT Services,$46K,$87K,Jersey City,NJ
53,$46K-$87K,"New York, NY",Brokerage Services,$46K,$87K,New York,NY
54,$46K-$87K,"Weehawken, NJ",Staffing & Outsourcing,$46K,$87K,Weehawken,NJ
55,$46K-$87K,"New York, NY",Unknown,$46K,$87K,New York,NY
56,$46K-$87K,"New York, NY",Motion Picture Production & Distribution,$46K,$87K,New York,NY
57,$46K-$87K,"New York, NY",Legal,$46K,$87K,New York,NY
58,$46K-$87K,"New York, NY",Computer Hardware & Software,$46K,$87K,New York,NY
59,$46K-$87K,"New York, NY",Real Estate,$46K,$87K,New York,NY
60,$51K-$88K,"New York, NY",Health Care Services & Hospitals,$51K,$88K,New York,NY
61,$51K-$88K,"New York, NY",IT Services,$51K,$88K,New York,NY
62,$51K-$88K,"New York, NY",IT Services,$51K,$88K,New York,NY
63,$51K-$88K,"New York, NY",IT Services,$51K,$88K,New York,NY
64,$51K-$88K,"New York, NY",Staffing & Outsourcing,$51K,$88K,New York,NY
65,$51K-$88K,"New York, NY",Internet,$51K,$88K,New York,NY
66,$51K-$88K,"New York, NY",IT Services,$51K,$88K,New York,NY
67,$51K-$88K,"New York, NY",Investment Banking & Asset Management,$51K,$88K,New York,NY
